,t,controller,scenario,rollout,measurement,value,unsafe
379,0.47000000000000003,Nominal,0,0,YDOT,-2.6441868073919363,
380,0.47000000000000003,Nominal,0,0,PHI,0.6929046353571429,
381,0.47000000000000003,Nominal,0,0,PHIDOT,-1.2685175867613219,
382,0.47000000000000003,Nominal,0,0,T1,17.558132913785098,
383,0.47000000000000003,Nominal,0,0,T2,14.460465776819538,
384,0.48,Nominal,0,0,X,12.599119940909363,
385,0.48,Nominal,0,0,XDOT,-7.068014978250479,
386,0.48,Nominal,0,0,Y,1.351309273331598,
387,0.48,Nominal,0,0,YDOT,-2.6411029681782137,
388,0.48,Nominal,0,0,PHI,0.6802194594895297,
389,0.48,Nominal,0,0,PHIDOT,-1.2992082074151627,
390,0.48,Nominal,0,0,T1,17.51936406593772,
391,0.48,Nominal,0,0,T2,14.527883206378569,
392,0.49,Nominal,0,0,X,12.528439791126859,
393,0.49,Nominal,0,0,XDOT,-7.141573178327615,
394,0.49,Nominal,0,0,Y,1.3248982436498158,
395,0.49,Nominal,0,0,YDOT,-2.636903296237918,
396,0.49,Nominal,0,0,PHI,0.6672273774153781,
397,0.49,Nominal,0,0,PHIDOT,-1.328830044559982,
398,0.49,Nominal,0,0,T1,17.478683855782723,
399,0.49,Nominal,0,0,T2,14.594078922173756,
400,0.5,Nominal,0,0,X,12.457024059343583,
401,0.5,Nominal,0,0,XDOT,-7.213819436836066,
402,0.5,Nominal,0,0,Y,1.2985292106874367,
403,0.5,Nominal,0,0,YDOT,-2.6315885879673266,
404,0.5,Nominal,0,0,PHI,0.6539390769697784,
405,0.5,Nominal,0,0,PHIDOT,-1.3573764427210235,
406,0.5,Nominal,0,0,T1,17.436118660449903,
407,0.5,Nominal,0,0,T2,14.659013059287975,
408,0.51,Nominal,0,0,X,12.384885864975223,
409,0.51,Nominal,0,0,XDOT,-7.284701743418679,
410,0.51,Nominal,0,0,Y,1.2722133248077634,
411,0.51,Nominal,0,0,YDOT,-2.625162177222041,
412,0.51,Nominal,0,0,PHI,0.6403653125425679,
413,0.51,Nominal,0,0,PHIDOT,-1.3848414103448092,
414,0.51,Nominal,0,0,T1,17.391697392501648,
415,0.51,Nominal,0,0,T2,14.722650254715864,
416,0.52,Nominal,0,0,X,12.312038847541036,
417,0.52,Nominal,0,0,XDOT,-7.3541688446491325,
418,0.52,Nominal,0,0,Y,1.245961703035543,
419,0.52,Nominal,0,0,YDOT,-2.6176299185069523,
420,0.52,Nominal,0,0,PHI,0.6265168984391201,
421,0.52,Nominal,0,0,PHIDOT,-1.4112195999846344,
422,0.52,Nominal,0,0,T1,17.345451634225583,
423,0.52,Nominal,0,0,T2,14.784959502211295,
424,0.53,Nominal,0,0,X,12.238497159094544,
425,0.53,Nominal,0,0,XDOT,-7.4221703536999115,
426,0.53,Nominal,0,0,Y,1.2197854038504734,
427,0.53,Nominal,0,0,YDOT,-2.609000161890044,
428,0.53,Nominal,0,0,PHI,0.6124047024392736,
429,0.53,Nominal,0,0,PHIDOT,-1.4365062912849809,
430,0.53,Nominal,0,0,T1,17.29741575537279,
431,0.53,Nominal,0,0,T2,14.845914000536537,
432,0.54,Nominal,0,0,X,12.164275455557545,
433,0.54,Nominal,0,0,XDOT,-7.488656860092541,
434,0.54,Nominal,0,0,Y,1.1936954022315729,
435,0.54,Nominal,0,0,YDOT,-2.5992837196607765,
436,0.54,Nominal,0,0,PHI,0.5980396395264238,
437,0.54,Nominal,0,0,PHIDOT,-1.4606973766646587,
438,0.54,Nominal,0,0,T1,17.247627013650757,
439,0.54,Nominal,0,0,T2,14.90549099574482,
440,0.55,Nominal,0,0,X,12.08938888695662,
441,0.55,Nominal,0,0,XDOT,-7.55358003891364,
442,0.55,Nominal,0,0,Y,1.167702565034965,
443,0.55,Nominal,0,0,YDOT,-2.588493824799312,
444,0.55,Nominal,0,0,PHI,0.5834326657597773,
