,t,controller,scenario,rollout,measurement,value,unsafe
217,0.27,Nominal,0,0,XDOT,5.961494208444508,
218,0.27,Nominal,0,0,Y,6.427778551072727,
219,0.27,Nominal,0,0,YDOT,-1.906036184988131,
220,0.27,Nominal,0,0,PHI,-0.5039738417660096,
221,0.27,Nominal,0,0,PHIDOT,1.383153923783871,
222,0.27,Nominal,0,0,T1,17.178153553782714,
223,0.27,Nominal,0,0,T2,18.393749237060547,
224,0.28,Nominal,0,0,X,1.3872833351331306,
225,0.28,Nominal,0,0,XDOT,6.024244699082815,
226,0.28,Nominal,0,0,Y,6.408718189222846,
227,0.28,Nominal,0,0,YDOT,-1.877633088528837,
228,0.28,Nominal,0,0,PHI,-0.49014230252817104,
229,0.28,Nominal,0,0,PHIDOT,1.3949979794068361,
230,0.28,Nominal,0,0,T1,17.208870296116245,
231,0.28,Nominal,0,0,T2,18.393749237060547,
232,0.29,Nominal,0,0,X,1.4475257821239589,
233,0.29,Nominal,0,0,XDOT,6.08526039226395,
234,0.29,Nominal,0,0,Y,6.389941858337558,
235,0.29,Nominal,0,0,YDOT,-1.848211549853914,
236,0.29,Nominal,0,0,PHI,-0.4761923227341027,
237,0.29,Nominal,0,0,PHIDOT,1.4065321967719229,
238,0.29,Nominal,0,0,T1,17.240467066336876,
239,0.29,Nominal,0,0,T2,18.393749237060547,
240,0.3,Nominal,0,0,X,1.5083783860465985,
241,0.3,Nominal,0,0,XDOT,6.144513809350979,
242,0.3,Nominal,0,0,Y,6.3714597428390185,
243,0.3,Nominal,0,0,YDOT,-1.8177841562330743,
244,0.3,Nominal,0,0,PHI,-0.4621270007663836,
245,0.3,Nominal,0,0,PHIDOT,1.4177478454687875,
246,0.3,Nominal,0,0,T1,17.272993209960138,
247,0.3,Nominal,0,0,T2,18.393749237060547,
248,0.31,Nominal,0,0,X,1.5698235241401082,
249,0.31,Nominal,0,0,XDOT,6.20197779282688,
250,0.31,Nominal,0,0,Y,6.353281901276688,
251,0.31,Nominal,0,0,YDOT,-1.78636428383383,
252,0.31,Nominal,0,0,PHI,-0.4479495223116956,
253,0.31,Nominal,0,0,PHIDOT,1.4286357036006383,
254,0.31,Nominal,0,0,T1,17.30648661790505,
255,0.31,Nominal,0,0,T2,18.393749237060547,
256,0.32,Nominal,0,0,X,1.631843302068377,
257,0.32,Nominal,0,0,XDOT,6.257625513218642,
258,0.32,Nominal,0,0,Y,6.33541825843835,
259,0.32,Nominal,0,0,YDOT,-1.7539661319154598,
260,0.32,Nominal,0,0,PHI,-0.43366316527568927,
261,0.32,Nominal,0,0,PHIDOT,1.4391861724410313,
262,0.32,Nominal,0,0,T1,17.340977093446824,
263,0.32,Nominal,0,0,T2,18.393749237060547,
264,0.33,Nominal,0,0,X,1.6944195572005634,
265,0.33,Nominal,0,0,XDOT,6.311430485505403,
266,0.33,Nominal,0,0,Y,6.317878597119195,
267,0.33,Nominal,0,0,YDOT,-1.7206047450236743,
268,0.33,Nominal,0,0,PHI,-0.41927130355127895,
269,0.33,Nominal,0,0,PHIDOT,1.4493893573952832,
270,0.33,Nominal,0,0,T1,17.3764885523503,
271,0.33,Nominal,0,0,T2,18.393749237060547,
272,0.34,Nominal,0,0,X,1.7575338620556173,
273,0.34,Nominal,0,0,XDOT,6.3633665919970115,
274,0.34,Nominal,0,0,Y,6.300672549668959,
275,0.34,Nominal,0,0,YDOT,-1.6862960267400597,
276,0.34,Nominal,0,0,PHI,-0.40477740997732603,
277,0.34,Nominal,0,0,PHIDOT,1.459235126942293,
278,0.34,Nominal,0,0,T1,17.41304045287272,
279,0.34,Nominal,0,0,T2,18.393749237060547,
280,0.35000000000000003,Nominal,0,0,X,1.8211675279755875,
281,0.35000000000000003,Nominal,0,0,XDOT,6.413408109707967,
282,0.35000000000000003,Nominal,0,0,Y,6.283809589401558,
283,0.35000000000000003,Nominal,0,0,YDOT,-1.6510567473321736,
284,0.35000000000000003,Nominal,0,0,PHI,-0.3901850587079032,
285,0.35000000000000003,Nominal,0,0,PHIDOT,1.4687131572630456,
286,0.35000000000000003,Nominal,0,0,T1,17.450648717416755,
287,0.35000000000000003,Nominal,0,0,T2,18.393749237060547,
288,0.36,Nominal,0,0,X,1.885301609072667,
289,0.36,Nominal,0,0,XDOT,6.4615297409256955,
290,0.36,Nominal,0,0,Y,6.2672990219282365,
291,0.36,Nominal,0,0,YDOT,-1.6149045468452117,
292,0.36,Nominal,0,0,PHI,-0.37549792713527275,
293,0.36,Nominal,0,0,PHIDOT,1.4778129676425207,
294,0.36,Nominal,0,0,T1,17.489326318618403,
295,0.36,Nominal,0,0,T2,18.393749237060547,
296,0.37,Nominal,0,0,X,1.949916906481924,
297,0.37,Nominal,0,0,XDOT,6.507706646108703,
298,0.37,Nominal,0,0,Y,6.251149976459784,
299,0.37,Nominal,0,0,YDOT,-1.577857934640178,
300,0.37,Nominal,0,0,PHI,-0.3607197974588474,
301,0.37,Nominal,0,0,PHIDOT,1.4865239500027387,
302,0.37,Nominal,0,0,T1,17.529083643946667,
303,0.37,Nominal,0,0,T2,18.393749237060547,
304,0.38,Nominal,0,0,X,2.014993972943011,
305,0.38,Nominal,0,0,XDOT,6.551914478532103,
306,0.38,Nominal,0,0,Y,6.235371397113382,
307,0.38,Nominal,0,0,YDOT,-1.5399362860269141,
308,0.38,Nominal,0,0,PHI,-0.34585455795882014,
309,0.38,Nominal,0,0,PHIDOT,1.4948353947831519,
310,0.38,Nominal,0,0,T1,17.569928714170047,
311,0.38,Nominal,0,0,T2,18.393749237060547,
312,0.39,Nominal,0,0,X,2.0805131177283323,
313,0.39,Nominal,0,0,XDOT,6.594129420279417,
314,0.39,Nominal,0,0,Y,6.219972034253113,
315,0.39,Nominal,0,0,YDOT,-1.5011598364034848,
316,0.39,Nominal,0,0,PHI,-0.3309062040109887,
317,0.39,Nominal,0,0,PHIDOT,1.5027365146305334,
318,0.39,Nominal,0,0,T1,17.61186730550326,
319,0.39,Nominal,0,0,T2,18.393749237060547,
320,0.4,Nominal,0,0,X,2.1464544119311264,
321,0.4,Nominal,0,0,XDOT,6.634328219295483,
322,0.4,Nominal,0,0,Y,6.2049604358890775,
323,0.4,Nominal,0,0,YDOT,-1.4615496731564646,
324,0.4,Nominal,0,0,PHI,-0.31587883886468315,
325,0.4,Nominal,0,0,PHIDOT,1.510216466862057,
326,0.4,Nominal,0,0,T1,17.654903008404666,
327,0.4,Nominal,0,0,T2,18.393749237060547,
328,0.41000000000000003,Nominal,0,0,X,2.2127976941240814,
329,0.41000000000000003,Nominal,0,0,XDOT,6.672488227288691,
330,0.41000000000000003,Nominal,0,0,Y,6.190344939157513,
331,0.41000000000000003,Nominal,0,0,YDOT,-1.4211277254731138,
332,0.41000000000000003,Nominal,0,0,PHI,-0.30077667419606247,
333,0.41000000000000003,Nominal,0,0,PHIDOT,1.5172643753353385,
334,0.41000000000000003,Nominal,0,0,T1,17.699037244887805,
335,0.41000000000000003,Nominal,0,0,T2,18.393749237060547,
336,0.42,Nominal,0,0,X,2.2795225763969684,
337,0.42,Nominal,0,0,XDOT,6.708587438316559,
338,0.42,Nominal,0,0,Y,6.1761336619027825,
339,0.42,Nominal,0,0,YDOT,-1.3799167521485878,
340,0.42,Nominal,0,0,PHI,-0.285604030442709,
341,0.42,Nominal,0,0,PHIDOT,1.5238693521404278,
342,0.42,Nominal,0,0,T1,17.74426925888762,
343,0.42,Nominal,0,0,T2,18.393749237060547,
344,0.43,Nominal,0,0,X,2.346608450780134,
345,0.43,Nominal,0,0,XDOT,6.742604527916428,
346,0.43,Nominal,0,0,Y,6.162334494381296,
347,0.43,Nominal,0,0,YDOT,-1.3379403274274309,
348,0.43,Nominal,0,0,PHI,-0.2703653369213046,
349,0.43,Nominal,0,0,PHIDOT,1.5300205193832495,
350,0.43,Nominal,0,0,T1,17.790596089395926,
351,0.43,Nominal,0,0,T2,18.393749237060547,
352,0.44,Nominal,0,0,X,2.414034496059298,
353,0.44,Nominal,0,0,XDOT,6.774518892659296,
354,0.44,Nominal,0,0,Y,6.148955091107022,
355,0.44,Nominal,0,0,YDOT,-1.2952228248908193,
356,0.44,Nominal,0,0,PHI,-0.25506513172747214,
357,0.44,Nominal,0,0,PHIDOT,1.5357070312327747,
358,0.44,Nominal,0,0,T1,17.838012532900336,
359,0.44,Nominal,0,0,T2,18.393749237060547,
360,0.45,Nominal,0,0,X,2.481779684985891,
361,0.45,Nominal,0,0,XDOT,6.804310690013417,
362,0.45,Nominal,0,0,Y,6.136002862858114,
363,0.45,Nominal,0,0,YDOT,-1.2517893993841214,
364,0.45,Nominal,0,0,PHI,-0.23970806141514434,
365,0.45,Nominal,0,0,PHIDOT,1.5409180963388338,
366,0.45,Nominal,0,0,T1,17.88651109956792,
367,0.45,Nominal,0,0,T2,18.393749237060547,
368,0.46,Nominal,0,0,X,2.5498227918860255,
369,0.46,Nominal,0,0,XDOT,6.831960878408175,
370,0.46,Nominal,0,0,Y,6.123484968864273,
371,0.46,Nominal,0,0,YDOT,-1.2076659669698597,
372,0.46,Nominal,0,0,PHI,-0.22429888045175606,
373,0.46,Nominal,0,0,PHIDOT,1.5456430006830357,
374,0.46,Nominal,0,0,T1,17.936081966236898,
375,0.46,Nominal,0,0,T2,18.393749237060547,
376,0.47000000000000003,Nominal,0,0,X,2.618142400670107,
377,0.47000000000000003,Nominal,0,0,XDOT,6.857451257389452,
378,0.47000000000000003,Nominal,0,0,Y,6.111408309194574,
379,0.47000000000000003,Nominal,0,0,YDOT,-1.162879182886788,
380,0.47000000000000003,Nominal,0,0,PHI,-0.20884245044492555,
381,0.47000000000000003,Nominal,0,0,PHIDOT,1.5498711308946183,
382,0.47000000000000003,Nominal,0,0,T1,17.986712928375205,
383,0.47000000000000003,Nominal,0,0,T2,18.393749237060547,
384,0.48,Nominal,0,0,X,2.6867169132440014,
385,0.48,Nominal,0,0,XDOT,6.880764507756544,
386,0.48,Nominal,0,0,Y,6.099779517365706,
387,0.48,Nominal,0,0,YDOT,-1.1174564174949773,
388,0.48,Nominal,0,0,PHI,-0.19334373913597958,
389,0.48,Nominal,0,0,PHIDOT,1.553591998041455,
390,0.48,Nominal,0,0,T1,18.038389352570285,
391,0.48,Nominal,0,0,T2,18.393749237060547,
392,0.49,Nominal,0,0,X,2.755524558321567,
393,0.49,Nominal,0,0,XDOT,6.90188423156832,
394,0.49,Nominal,0,0,Y,6.088604953190756,
395,0.49,Nominal,0,0,YDOT,-1.071425730188544,
396,0.49,Nominal,0,0,PHI,-0.1778078191555652,
397,0.49,Nominal,0,0,PHIDOT,1.5567952618907992,
398,0.49,Nominal,0,0,T1,18.09109413072632,
399,0.49,Nominal,0,0,T2,18.393749237060547,
400,0.5,Nominal,0,0,X,2.8245434006372503,
401,0.5,Nominal,0,0,XDOT,6.920794991903311,
402,0.5,Nominal,0,0,Y,6.07789069588887,
403,0.5,Nominal,0,0,YDOT,-1.0248158412612316,
404,0.5,Nominal,0,0,PHI,-0.16223986653665712,
405,0.5,Nominal,0,0,PHIDOT,1.559470755622585,
